譲渡益税履歴

検索開始年月日,検索終了年月日
"2020年10月23日","2020年11月26日"

譲渡益税徴収額合計,所得税,地方税
"19497","14699","4798"

損益合計金額
"140860"

明細数：299件

銘柄コード,銘柄名,累投区分,約定日,数量,受渡日,譲渡益税計算処理分類区分,商品,売却/決済金額,費用,取得/新規年月日,取得/新規金額,損益金額,譲渡益税徴収額,地方税
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","371980","20","2020/10/26","371500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","367480","20","2020/10/26","367000","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","368980","20","2020/10/26","367000","+1980","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","373980","20","2020/10/26","373500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","200","2020/10/26","信用売決済","株式","738960","40","2020/10/26","738000","+960","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","370480","20","2020/10/26","368500","+1980","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","368980","20","2020/10/26","368500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","200","2020/10/26","信用売決済","株式","731961","39","2020/10/26","728000","+3961","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","367980","20","2020/10/26","367500","+480","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","305984","16","2020/10/26","300000","+5984","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","318983","17","2020/10/26","318000","+983","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","318483","17","2020/10/26","318000","+483","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","312483","17","2020/10/26","312000","+483","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","300984","16","2020/10/26","300000","+984","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","316483","17","2020/10/26","316000","+483","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","318483","17","2020/10/26","317500","+983","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","309484","16","2020/10/26","309000","+484","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","311484","16","2020/10/26","310000","+1484","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","312483","17","2020/10/26","312000","+483","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","313983","17","2020/10/26","313500","+483","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","313983","17","2020/10/26","313500","+483","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","306484","16","2020/10/26","306000","+484","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","309484","16","2020/10/26","309000","+484","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","316483","17","2020/10/26","316000","+483","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","305984","16","2020/10/26","305500","+484","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","100","2020/10/26","信用売決済","株式","305984","16","2020/10/26","305500","+484","",""
"3902","メディカル・データ・ビジョン","","2020/10/22","200","2020/10/26","信用売決済","株式","661851","149","2020/10/23","680000","-18149","",""
